Thermal calculator data file
Last updated date: 2016-08-11, 23:02:28

Thermal model: Gringarten equation
Base data
Parameter	Value	Unit	
Specific heat of rock	800	J/kg¡ÆC	
Specific heat of fluid	4178	J/kg¡ÆC	
Rock density	2628	kg/m^3	
Thermal conductivity of rock, k	3.018	W/m¡ÆC	
Initial rock temperature	180	¡ÆC	
Injection fluid temperature	60	¡ÆC	

Variables
Variable	Value	Unit	
Width of fracture	600	m	
Mass flow rate	40	kg/s	
Number of fractures	5		
Fracture spacing	60	m	
Distance from injection	800	m	
Time	30	years	

Calculation results
Outlet fluid temperature	161.67	¡ÆC	
Rock temperature distribution
Z	X	Temperature	
m	m	¡ÆC	
696.00	0.30	151.97	
704.00	0.30	152.84	
712.00	0.30	153.70	
720.00	0.30	154.54	
728.00	0.30	155.36	
736.00	0.30	156.16	
744.00	0.30	156.94	
752.00	0.30	157.71	
760.00	0.30	158.45	
768.00	0.30	159.18	
776.00	0.30	159.89	
784.00	0.30	160.57	
792.00	0.30	161.25	
800.00	0.30	161.90	
0.00	0.60	60.12	
8.00	0.60	60.32	
16.00	0.60	60.56	
24.00	0.60	60.83	
32.00	0.60	61.14	
40.00	0.60	61.48	
48.00	0.60	61.86	
56.00	0.60	62.27	
64.00	0.60	62.72	
72.00	0.60	63.20	
80.00	0.60	63.73	
88.00	0.60	64.29	
96.00	0.60	64.89	
104.00	0.60	65.52	
112.00	0.60	66.19	
120.00	0.60	66.90	
128.00	0.60	67.64	
136.00	0.60	68.42	
144.00	0.60	69.23	
152.00	0.60	70.08	
160.00	0.60	70.96	
168.00	0.60	71.88	
176.00	0.60	72.82	
184.00	0.60	73.80	
192.00	0.60	74.81	
200.00	0.60	75.85	
208.00	0.60	76.92	
216.00	0.60	78.01	
224.00	0.60	79.13	
232.00	0.60	80.28	
240.00	0.60	81.45	
248.00	0.60	82.64	
256.00	0.60	83.86	
264.00	0.60	85.10	
272.00	0.60	86.35	
280.00	0.60	87.63	
288.00	0.60	88.92	
296.00	0.60	90.22	
304.00	0.60	91.55	
312.00	0.60	92.88	
320.00	0.60	94.23	
328.00	0.60	95.58	
336.00	0.60	96.95	
344.00	0.60	98.32	
352.00	0.60	99.70	
360.00	0.60	101.09	
368.00	0.60	102.48	
376.00	0.60	103.88	
384.00	0.60	105.27	
392.00	0.60	106.67	
400.00	0.60	108.07	
408.00	0.60	109.47	
416.00	0.60	110.86	
424.00	0.60	112.25	
432.00	0.60	113.64	
440.00	0.60	115.02	
448.00	0.60	116.39	
456.00	0.60	117.76	
464.00	0.60	119.12	
472.00	0.60	120.47	
480.00	0.60	121.81	
488.00	0.60	123.14	
496.00	0.60	124.46	
504.00	0.60	125.77	
512.00	0.60	127.06	
520.00	0.60	128.34	
528.00	0.60	129.61	
536.00	0.60	130.86	
544.00	0.60	132.10	
552.00	0.60	133.32	
560.00	0.60	134.53	
568.00	0.60	135.72	
576.00	0.60	136.89	
584.00	0.60	138.05	
592.00	0.60	139.18	
600.00	0.60	140.30	
608.00	0.60	141.40	
616.00	0.60	142.49	
624.00	0.60	143.55	
632.00	0.60	144.60	
640.00	0.60	145.62	
648.00	0.60	146.63	
656.00	0.60	147.62	
664.00	0.60	148.59	
672.00	0.60	149.54	
680.00	0.60	150.47	
688.00	0.60	151.38	
696.00	0.60	152.27	
704.00	0.60	153.14	
712.00	0.60	153.99	
