Thermal calculator data file
Last updated date: 2016-08-11, 23:02:28

Thermal model: Gringarten equation
Base data
Parameter	Value	Unit	
Specific heat of rock	800	J/kg¡ÆC	
Specific heat of fluid	4178	J/kg¡ÆC	
Rock density	2628	kg/m^3	
Thermal conductivity of rock, k	3.018	W/m¡ÆC	
Initial rock temperature	180	¡ÆC	
Injection fluid temperature	60	¡ÆC	

Variables
Variable	Value	Unit	
Width of fracture	600	m	
Mass flow rate	40	kg/s	
Number of fractures	5		
Fracture spacing	60	m	
Distance from injection	800	m	
Time	30	years	

Calculation results
Outlet fluid temperature	161.67	¡ÆC	
Rock temperature distribution
Z	X	Temperature	
m	m	¡ÆC	
64.00	7.20	65.89	
72.00	7.20	66.63	
80.00	7.20	67.40	
88.00	7.20	68.22	
96.00	7.20	69.07	
104.00	7.20	69.95	
112.00	7.20	70.87	
120.00	7.20	71.83	
128.00	7.20	72.81	
136.00	7.20	73.83	
144.00	7.20	74.88	
152.00	7.20	75.96	
160.00	7.20	77.07	
168.00	7.20	78.20	
176.00	7.20	79.36	
184.00	7.20	80.55	
192.00	7.20	81.76	
200.00	7.20	82.99	
208.00	7.20	84.25	
216.00	7.20	85.52	
224.00	7.20	86.82	
232.00	7.20	88.13	
240.00	7.20	89.45	
248.00	7.20	90.80	
256.00	7.20	92.15	
264.00	7.20	93.52	
272.00	7.20	94.90	
280.00	7.20	96.29	
288.00	7.20	97.68	
296.00	7.20	99.09	
304.00	7.20	100.50	
312.00	7.20	101.91	
320.00	7.20	103.33	
328.00	7.20	104.75	
336.00	7.20	106.17	
344.00	7.20	107.59	
352.00	7.20	109.00	
360.00	7.20	110.42	
368.00	7.20	111.83	
376.00	7.20	113.24	
384.00	7.20	114.64	
392.00	7.20	116.03	
400.00	7.20	117.42	
408.00	7.20	118.80	
416.00	7.20	120.17	
424.00	7.20	121.53	
432.00	7.20	122.88	
440.00	7.20	124.21	
448.00	7.20	125.54	
456.00	7.20	126.85	
464.00	7.20	128.15	
472.00	7.20	129.43	
480.00	7.20	130.70	
488.00	7.20	131.95	
496.00	7.20	133.19	
504.00	7.20	134.41	
512.00	7.20	135.61	
520.00	7.20	136.79	
528.00	7.20	137.96	
536.00	7.20	139.11	
544.00	7.20	140.24	
552.00	7.20	141.35	
560.00	7.20	142.45	
568.00	7.20	143.52	
576.00	7.20	144.58	
584.00	7.20	145.61	
592.00	7.20	146.63	
600.00	7.20	147.62	
608.00	7.20	148.60	
616.00	7.20	149.56	
624.00	7.20	150.49	
632.00	7.20	151.41	
640.00	7.20	152.31	
648.00	7.20	153.18	
656.00	7.20	154.04	
664.00	7.20	154.88	
672.00	7.20	155.70	
680.00	7.20	156.49	
688.00	7.20	157.27	
696.00	7.20	158.03	
704.00	7.20	158.77	
712.00	7.20	159.50	
720.00	7.20	160.20	
728.00	7.20	160.88	
736.00	7.20	161.55	
744.00	7.20	162.20	
752.00	7.20	162.83	
760.00	7.20	163.44	
768.00	7.20	164.04	
776.00	7.20	164.62	
784.00	7.20	165.18	
792.00	7.20	165.73	
800.00	7.20	166.26	
0.00	7.50	61.41	
8.00	7.50	61.85	
16.00	7.50	62.33	
24.00	7.50	62.85	
32.00	7.50	63.40	
40.00	7.50	64.00	
48.00	7.50	64.64	
56.00	7.50	65.31	
64.00	7.50	66.02	
72.00	7.50	66.77	
80.00	7.50	67.56	
88.00	7.50	68.38	
96.00	7.50	69.24	
104.00	7.50	70.14	
112.00	7.50	71.07	
120.00	7.50	72.03	
128.00	7.50	73.03	
136.00	7.50	74.05	
144.00	7.50	75.11	
152.00	7.50	76.20	
160.00	7.50	77.32	
168.00	7.50	78.46	
176.00	7.50	79.63	
184.00	7.50	80.83	
192.00	7.50	82.04	
200.00	7.50	83.29	
208.00	7.50	84.55	
216.00	7.50	85.83	
224.00	7.50	87.13	
232.00	7.50	88.45	
240.00	7.50	89.78	
248.00	7.50	91.13	
256.00	7.50	92.49	
264.00	7.50	93.86	
272.00	7.50	95.24	
280.00	7.50	96.64	
288.00	7.50	98.04	
296.00	7.50	99.44	
304.00	7.50	100.86	
312.00	7.50	102.27	
320.00	7.50	103.69	
328.00	7.50	105.11	
336.00	7.50	106.54	
344.00	7.50	107.96	
352.00	7.50	109.38	
360.00	7.50	110.79	
368.00	7.50	112.20	
376.00	7.50	113.61	
384.00	7.50	115.01	
392.00	7.50	116.41	
400.00	7.50	117.79	
408.00	7.50	119.17	
416.00	7.50	120.54	
424.00	7.50	121.90	
432.00	7.50	123.24	
440.00	7.50	124.58	
448.00	7.50	125.90	
456.00	7.50	127.21	
464.00	7.50	128.50	
472.00	7.50	129.78	
480.00	7.50	131.05	
488.00	7.50	132.30	
496.00	7.50	133.53	
504.00	7.50	134.75	
512.00	7.50	135.94	
520.00	7.50	137.13	
528.00	7.50	138.29	
536.00	7.50	139.43	
544.00	7.50	140.56	
552.00	7.50	141.67	
560.00	7.50	142.76	
568.00	7.50	143.83	
576.00	7.50	144.88	
584.00	7.50	145.91	
592.00	7.50	146.92	
600.00	7.50	147.91	
608.00	7.50	148.88	
616.00	7.50	149.83	
624.00	7.50	150.76	
632.00	7.50	151.67	
640.00	7.50	152.56	
648.00	7.50	153.44	
656.00	7.50	154.29	
664.00	7.50	155.12	
672.00	7.50	155.93	
680.00	7.50	156.73	
688.00	7.50	157.50	
696.00	7.50	158.25	
704.00	7.50	158.99	
712.00	7.50	159.71	
720.00	7.50	160.41	
728.00	7.50	161.09	
736.00	7.50	161.75	
744.00	7.50	162.39	
752.00	7.50	163.02	
760.00	7.50	163.63	
768.00	7.50	164.22	
776.00	7.50	164.79	
784.00	7.50	165.35	
792.00	7.50	165.89	
800.00	7.50	166.42	
0.00	7.80	61.47	
8.00	7.80	61.91	
16.00	7.80	62.40	
24.00	7.80	62.93	
32.00	7.80	63.50	
40.00	7.80	64.10	
48.00	7.80	64.75	
56.00	7.80	65.43	
64.00	7.80	66.15	
72.00	7.80	66.91	
80.00	7.80	67.71	
88.00	7.80	68.54	
96.00	7.80	69.41	
104.00	7.80	70.32	
112.00	7.80	71.26	
120.00	7.80	72.23	
128.00	7.80	73.24	
136.00	7.80	74.28	
144.00	7.80	75.34	
152.00	7.80	76.44	
160.00	7.80	77.57	
168.00	7.80	78.72	
176.00	7.80	79.90	
184.00	7.80	81.10	
192.00	7.80	82.33	
200.00	7.80	83.57	
208.00	7.80	84.84	
216.00	7.80	86.13	
224.00	7.80	87.44	
232.00	7.80	88.76	
240.00	7.80	90.10	
248.00	7.80	91.46	
256.00	7.80	92.82	
264.00	7.80	94.20	
272.00	7.80	95.59	
280.00	7.80	96.98	
288.00	7.80	98.39	
296.00	7.80	99.80	
304.00	7.80	101.21	
312.00	7.80	102.63	
320.00	7.80	104.05	
328.00	7.80	105.48	
336.00	7.80	106.90	
344.00	7.80	108.32	
352.00	7.80	109.74	
360.00	7.80	111.16	
368.00	7.80	112.57	
376.00	7.80	113.98	
384.00	7.80	115.38	
392.00	7.80	116.78	
400.00	7.80	118.16	
408.00	7.80	119.54	
416.00	7.80	120.90	
424.00	7.80	122.26	
432.00	7.80	123.61	
440.00	7.80	124.94	
448.00	7.80	126.26	
456.00	7.80	127.56	
464.00	7.80	128.86	
472.00	7.80	130.13	
480.00	7.80	131.39	
488.00	7.80	132.64	
496.00	7.80	133.87	
504.00	7.80	135.08	
512.00	7.80	136.27	
520.00	7.80	137.45	
528.00	7.80	138.61	
536.00	7.80	139.75	
544.00	7.80	140.87	
552.00	7.80	141.98	
560.00	7.80	143.06	
568.00	7.80	144.13	
576.00	7.80	145.17	
584.00	7.80	146.20	
592.00	7.80	147.20	
600.00	7.80	148.19	
608.00	7.80	149.15	
616.00	7.80	150.10	
624.00	7.80	151.03	
632.00	7.80	151.93	
640.00	7.80	152.82	
648.00	7.80	153.69	
656.00	7.80	154.53	
664.00	7.80	155.36	
672.00	7.80	156.17	
680.00	7.80	156.96	
688.00	7.80	157.72	
696.00	7.80	158.47	
704.00	7.80	159.20	
712.00	7.80	159.92	
720.00	7.80	160.61	
728.00	7.80	161.28	
736.00	7.80	161.94	
744.00	7.80	162.58	
752.00	7.80	163.20	
760.00	7.80	163.80	
768.00	7.80	164.39	
776.00	7.80	164.96	
784.00	7.80	165.51	
792.00	7.80	166.05	
800.00	7.80	166.57	
0.00	8.10	61.52	
8.00	8.10	61.98	
16.00	8.10	62.47	
24.00	8.10	63.01	
32.00	8.10	63.59	
40.00	8.10	64.20	
48.00	8.10	64.86	
56.00	8.10	65.55	
64.00	8.10	66.28	
72.00	8.10	67.05	
80.00	8.10	67.86	
88.00	8.10	68.71	
96.00	8.10	69.59	
104.00	8.10	70.50	
112.00	8.10	71.45	
120.00	8.10	72.43	
128.00	8.10	73.45	
136.00	8.10	74.49	
144.00	8.10	75.57	
152.00	8.10	76.68	
160.00	8.10	77.81	
168.00	8.10	78.97	
176.00	8.10	80.16	
184.00	8.10	81.37	
192.00	8.10	82.60	
200.00	8.10	83.86	
208.00	8.10	85.14	
216.00	8.10	86.43	
224.00	8.10	87.75	
232.00	8.10	89.07	
240.00	8.10	90.42	
248.00	8.10	91.78	
256.00	8.10	93.15	
264.00	8.10	94.53	
272.00	8.10	95.92	
280.00	8.10	97.33	
288.00	8.10	98.73	
296.00	8.10	100.15	
304.00	8.10	101.57	
312.00	8.10	102.99	
320.00	8.10	104.41	
328.00	8.10	105.84	
336.00	8.10	107.26	
344.00	8.10	108.68	
352.00	8.10	110.11	
360.00	8.10	111.52	
368.00	8.10	112.94	
376.00	8.10	114.34	
384.00	8.10	115.75	
392.00	8.10	117.14	
400.00	8.10	118.52	
408.00	8.10	119.90	
416.00	8.10	121.27	
424.00	8.10	122.62	
432.00	8.10	123.96	
440.00	8.10	125.29	
448.00	8.10	126.61	
456.00	8.10	127.91	
464.00	8.10	129.20	
472.00	8.10	130.48	
480.00	8.10	131.73	
488.00	8.10	132.98	
496.00	8.10	134.20	
504.00	8.10	135.41	
512.00	8.10	136.60	
520.00	8.10	137.77	
528.00	8.10	138.93	
536.00	8.10	140.07	
544.00	8.10	141.18	
552.00	8.10	142.28	
560.00	8.10	143.36	
568.00	8.10	144.42	
576.00	8.10	145.46	
584.00	8.10	146.48	
592.00	8.10	147.48	
600.00	8.10	148.46	
608.00	8.10	149.43	
616.00	8.10	150.37	
624.00	8.10	151.29	
632.00	8.10	152.19	
640.00	8.10	153.07	
648.00	8.10	153.93	
656.00	8.10	154.77	
664.00	8.10	155.60	
672.00	8.10	156.40	
680.00	8.10	157.18	
688.00	8.10	157.94	
696.00	8.10	158.69	
704.00	8.10	159.41	
712.00	8.10	160.12	
720.00	8.10	160.81	
728.00	8.10	161.48	
736.00	8.10	162.13	
744.00	8.10	162.76	
752.00	8.10	163.38	
760.00	8.10	163.98	
768.00	8.10	164.56	
776.00	8.10	165.13	
784.00	8.10	165.68	
792.00	8.10	166.21	
800.00	8.10	166.72	
0.00	8.40	61.57	
8.00	8.40	62.04	
16.00	8.40	62.55	
24.00	8.40	63.09	
32.00	8.40	63.68	
40.00	8.40	64.30	
48.00	8.40	64.97	
56.00	8.40	65.67	
64.00	8.40	66.41	
72.00	8.40	67.19	
80.00	8.40	68.01	
88.00	8.40	68.87	
96.00	8.40	69.76	
104.00	8.40	70.68	
112.00	8.40	71.64	
120.00	8.40	72.63	
128.00	8.40	73.66	
136.00	8.40	74.71	
144.00	8.40	75.80	
152.00	8.40	76.91	
160.00	8.40	78.06	
168.00	8.40	79.22	
176.00	8.40	80.42	
184.00	8.40	81.64	
192.00	8.40	82.88	
200.00	8.40	84.14	
208.00	8.40	85.43	
216.00	8.40	86.73	
224.00	8.40	88.05	
232.00	8.40	89.38	
240.00	8.40	90.73	
248.00	8.40	92.10	
256.00	8.40	93.47	
264.00	8.40	94.86	
272.00	8.40	96.26	
280.00	8.40	97.66	
288.00	8.40	99.07	
296.00	8.40	100.49	
304.00	8.40	101.91	
312.00	8.40	103.34	
320.00	8.40	104.76	
328.00	8.40	106.19	
336.00	8.40	107.62	
344.00	8.40	109.04	
352.00	8.40	110.46	
360.00	8.40	111.88	
368.00	8.40	113.30	
376.00	8.40	114.70	
384.00	8.40	116.10	
392.00	8.40	117.50	
400.00	8.40	118.88	
408.00	8.40	120.26	
416.00	8.40	121.62	
424.00	8.40	122.97	
432.00	8.40	124.31	
440.00	8.40	125.64	
448.00	8.40	126.96	
456.00	8.40	128.26	
464.00	8.40	129.54	
472.00	8.40	130.82	
480.00	8.40	132.07	
488.00	8.40	133.31	
496.00	8.40	134.53	
504.00	8.40	135.74	
512.00	8.40	136.92	
520.00	8.40	138.09	
528.00	8.40	139.24	
536.00	8.40	140.38	
544.00	8.40	141.49	
552.00	8.40	142.58	
560.00	8.40	143.66	
568.00	8.40	144.71	
576.00	8.40	145.75	
584.00	8.40	146.77	
592.00	8.40	147.76	
600.00	8.40	148.74	
608.00	8.40	149.69	
616.00	8.40	150.63	
624.00	8.40	151.55	
632.00	8.40	152.44	
640.00	8.40	153.32	
648.00	8.40	154.17	
656.00	8.40	155.01	
664.00	8.40	155.83	
672.00	8.40	156.62	
680.00	8.40	157.40	
688.00	8.40	158.16	
696.00	8.40	158.90	
704.00	8.40	159.62	
712.00	8.40	160.32	
720.00	8.40	161.01	
728.00	8.40	161.67	
736.00	8.40	162.32	
744.00	8.40	162.95	
752.00	8.40	163.56	
760.00	8.40	164.15	
768.00	8.40	164.73	
776.00	8.40	165.29	
784.00	8.40	165.83	
792.00	8.40	166.36	
800.00	8.40	166.87	
0.00	8.70	61.62	
8.00	8.70	62.10	
16.00	8.70	62.62	
24.00	8.70	63.17	
32.00	8.70	63.77	
40.00	8.70	64.40	
48.00	8.70	65.08	
56.00	8.70	65.79	
64.00	8.70	66.54	
72.00	8.70	67.33	
80.00	8.70	68.16	
88.00	8.70	69.02	
96.00	8.70	69.92	
104.00	8.70	70.86	
112.00	8.70	71.83	
120.00	8.70	72.83	
128.00	8.70	73.86	
136.00	8.70	74.93	
144.00	8.70	76.02	
152.00	8.70	77.15	
160.00	8.70	78.30	
168.00	8.70	79.47	
176.00	8.70	80.68	
184.00	8.70	81.90	
192.00	8.70	83.15	
200.00	8.70	84.42	
208.00	8.70	85.71	
216.00	8.70	87.02	
224.00	8.70	88.35	
232.00	8.70	89.69	
240.00	8.70	91.05	
248.00	8.70	92.41	
256.00	8.70	93.80	
264.00	8.70	95.19	
272.00	8.70	96.59	
280.00	8.70	98.00	
288.00	8.70	99.41	
296.00	8.70	100.83	
304.00	8.70	102.26	
312.00	8.70	103.68	
320.00	8.70	105.11	
328.00	8.70	106.54	
336.00	8.70	107.97	
344.00	8.70	109.40	
352.00	8.70	110.82	
360.00	8.70	112.24	
368.00	8.70	113.65	
376.00	8.70	115.06	
384.00	8.70	116.46	
392.00	8.70	117.85	
400.00	8.70	119.23	
408.00	8.70	120.61	
416.00	8.70	121.97	
424.00	8.70	123.32	
432.00	8.70	124.66	
440.00	8.70	125.99	
448.00	8.70	127.30	
456.00	8.70	128.60	
464.00	8.70	129.88	
472.00	8.70	131.15	
480.00	8.70	132.40	
488.00	8.70	133.64	
496.00	8.70	134.86	
504.00	8.70	136.06	
512.00	8.70	137.24	
520.00	8.70	138.41	
528.00	8.70	139.55	
536.00	8.70	140.68	
544.00	8.70	141.79	
552.00	8.70	142.88	
560.00	8.70	143.95	
568.00	8.70	145.00	
576.00	8.70	146.03	
584.00	8.70	147.04	
592.00	8.70	148.03	
600.00	8.70	149.01	
608.00	8.70	149.96	
616.00	8.70	150.89	
624.00	8.70	151.80	
632.00	8.70	152.69	
640.00	8.70	153.56	
648.00	8.70	154.41	
656.00	8.70	155.24	
664.00	8.70	156.06	
672.00	8.70	156.85	
680.00	8.70	157.62	
688.00	8.70	158.37	
696.00	8.70	159.11	
704.00	8.70	159.82	
712.00	8.70	160.52	
720.00	8.70	161.20	
728.00	8.70	161.86	
736.00	8.70	162.50	
744.00	8.70	163.13	
752.00	8.70	163.73	
760.00	8.70	164.32	
768.00	8.70	164.90	
776.00	8.70	165.45	
784.00	8.70	165.99	
792.00	8.70	166.51	
800.00	8.70	167.02	
0.00	9.00	61.68	
8.00	9.00	62.16	
16.00	9.00	62.69	
24.00	9.00	63.25	
32.00	9.00	63.86	
40.00	9.00	64.50	
48.00	9.00	65.18	
56.00	9.00	65.91	
64.00	9.00	66.67	
72.00	9.00	67.47	
80.00	9.00	68.31	
88.00	9.00	69.18	
96.00	9.00	70.09	
104.00	9.00	71.03	
112.00	9.00	72.01	
120.00	9.00	73.02	
128.00	9.00	74.07	
136.00	9.00	75.14	
144.00	9.00	76.24	
152.00	9.00	77.37	
160.00	9.00	78.53	
168.00	9.00	79.72	
176.00	9.00	80.93	
184.00	9.00	82.16	
192.00	9.00	83.42	
200.00	9.00	84.70	
208.00	9.00	86.00	
216.00	9.00	87.31	
224.00	9.00	88.64	
232.00	9.00	89.99	
240.00	9.00	91.35	
248.00	9.00	92.73	
256.00	9.00	94.11	
264.00	9.00	95.51	
272.00	9.00	96.91	
280.00	9.00	98.33	
288.00	9.00	99.74	
296.00	9.00	101.17	
304.00	9.00	102.60	
312.00	9.00	104.03	
320.00	9.00	105.46	
328.00	9.00	106.89	
336.00	9.00	108.32	
344.00	9.00	109.74	
352.00	9.00	111.17	
360.00	9.00	112.59	
368.00	9.00	114.00	
376.00	9.00	115.41	
384.00	9.00	116.81	
392.00	9.00	118.20	
400.00	9.00	119.58	
408.00	9.00	120.96	
416.00	9.00	122.32	
424.00	9.00	123.67	
432.00	9.00	125.00	
440.00	9.00	126.33	
448.00	9.00	127.64	
456.00	9.00	128.93	
464.00	9.00	130.21	
472.00	9.00	131.48	
480.00	9.00	132.73	
488.00	9.00	133.96	
496.00	9.00	135.18	
504.00	9.00	136.37	
512.00	9.00	137.55	
520.00	9.00	138.71	
528.00	9.00	139.86	
536.00	9.00	140.98	
544.00	9.00	142.09	
552.00	9.00	143.17	
560.00	9.00	144.24	
568.00	9.00	145.28	
576.00	9.00	146.31	
584.00	9.00	147.32	
592.00	9.00	148.30	
600.00	9.00	149.27	
608.00	9.00	150.22	
616.00	9.00	151.14	
624.00	9.00	152.05	
632.00	9.00	152.93	
640.00	9.00	153.80	
648.00	9.00	154.65	
656.00	9.00	155.47	
664.00	9.00	156.28	
672.00	9.00	157.07	
680.00	9.00	157.84	
688.00	9.00	158.58	
696.00	9.00	159.31	
704.00	9.00	160.02	
712.00	9.00	160.72	
720.00	9.00	161.39	
728.00	9.00	162.05	
736.00	9.00	162.68	
744.00	9.00	163.30	
752.00	9.00	163.90	
760.00	9.00	164.49	
768.00	9.00	165.06	
776.00	9.00	165.61	
784.00	9.00	166.14	
792.00	9.00	166.66	
800.00	9.00	167.17	
0.00	9.30	61.73	
8.00	9.30	62.22	
16.00	9.30	62.75	
24.00	9.30	63.33	
32.00	9.30	63.94	
40.00	9.30	64.60	
48.00	9.30	65.29	
56.00	9.30	66.02	
64.00	9.30	66.80	
72.00	9.30	67.61	
80.00	9.30	68.45	
88.00	9.30	69.33	
96.00	9.30	70.25	
104.00	9.30	71.21	
112.00	9.30	72.19	
120.00	9.30	73.21	
128.00	9.30	74.27	
136.00	9.30	75.35	
144.00	9.30	76.46	
152.00	9.30	77.60	
160.00	9.30	78.77	
168.00	9.30	79.96	
176.00	9.30	81.18	
184.00	9.30	82.42	
192.00	9.30	83.69	
200.00	9.30	84.97	
208.00	9.30	86.28	
216.00	9.30	87.60	
224.00	9.30	88.93	
232.00	9.30	90.29	
240.00	9.30	91.66	
248.00	9.30	93.03	
256.00	9.30	94.43	
264.00	9.30	95.83	
272.00	9.30	97.24	
280.00	9.30	98.65	
288.00	9.30	100.07	
296.00	9.30	101.50	
304.00	9.30	102.93	
312.00	9.30	104.36	
320.00	9.30	105.80	
328.00	9.30	107.23	
336.00	9.30	108.66	
344.00	9.30	110.09	
352.00	9.30	111.51	
360.00	9.30	112.93	
368.00	9.30	114.35	
376.00	9.30	115.75	
384.00	9.30	117.15	
392.00	9.30	118.55	
400.00	9.30	119.93	
408.00	9.30	121.30	
416.00	9.30	122.66	
424.00	9.30	124.01	
432.00	9.30	125.34	
440.00	9.30	126.66	
448.00	9.30	127.97	
456.00	9.30	129.26	
464.00	9.30	130.54	
472.00	9.30	131.80	
480.00	9.30	133.05	
488.00	9.30	134.28	
496.00	9.30	135.49	
504.00	9.30	136.69	
512.00	9.30	137.86	
520.00	9.30	139.02	
528.00	9.30	140.16	
536.00	9.30	141.28	
544.00	9.30	142.38	
552.00	9.30	143.46	
560.00	9.30	144.52	
568.00	9.30	145.56	
576.00	9.30	146.58	
584.00	9.30	147.59	
592.00	9.30	148.57	
600.00	9.30	149.53	
608.00	9.30	150.47	
616.00	9.30	151.39	
624.00	9.30	152.29	
632.00	9.30	153.18	
640.00	9.30	154.04	
648.00	9.30	154.88	
656.00	9.30	155.70	
664.00	9.30	156.50	
672.00	9.30	157.28	
680.00	9.30	158.05	
688.00	9.30	158.79	
696.00	9.30	159.52	
704.00	9.30	160.22	
712.00	9.30	160.91	
720.00	9.30	161.58	
728.00	9.30	162.23	
736.00	9.30	162.86	
744.00	9.30	163.48	
752.00	9.30	164.07	
760.00	9.30	164.65	
768.00	9.30	165.22	
776.00	9.30	165.77	
784.00	9.30	166.30	
792.00	9.30	166.81	
800.00	9.30	167.31	
0.00	9.60	61.78	
8.00	9.60	62.28	
16.00	9.60	62.82	
24.00	9.60	63.41	
32.00	9.60	64.03	
40.00	9.60	64.69	
48.00	9.60	65.40	
56.00	9.60	66.14	
64.00	9.60	66.92	
72.00	9.60	67.74	
80.00	9.60	68.60	
88.00	9.60	69.49	
96.00	9.60	70.42	
104.00	9.60	71.38	
112.00	9.60	72.38	
120.00	9.60	73.40	
128.00	9.60	74.47	
136.00	9.60	75.56	
144.00	9.60	76.68	
152.00	9.60	77.83	
160.00	9.60	79.00	
168.00	9.60	80.20	
176.00	9.60	81.43	
184.00	9.60	82.68	
192.00	9.60	83.95	
200.00	9.60	85.24	
208.00	9.60	86.55	
216.00	9.60	87.88	
224.00	9.60	89.22	
232.00	9.60	90.58	
240.00	9.60	91.95	
248.00	9.60	93.34	
256.00	9.60	94.73	
264.00	9.60	96.14	
272.00	9.60	97.55	
280.00	9.60	98.97	
288.00	9.60	100.40	
296.00	9.60	101.83	
304.00	9.60	103.26	
312.00	9.60	104.70	
320.00	9.60	106.13	
328.00	9.60	107.56	
336.00	9.60	109.00	
344.00	9.60	110.43	
352.00	9.60	111.85	
360.00	9.60	113.27	
368.00	9.60	114.69	
376.00	9.60	116.09	
384.00	9.60	117.49	
392.00	9.60	118.88	
400.00	9.60	120.27	
408.00	9.60	121.64	
416.00	9.60	122.99	
424.00	9.60	124.34	
432.00	9.60	125.67	
440.00	9.60	126.99	
448.00	9.60	128.30	
456.00	9.60	129.59	
464.00	9.60	130.87	
472.00	9.60	132.13	
480.00	9.60	133.37	
488.00	9.60	134.59	
496.00	9.60	135.80	
504.00	9.60	136.99	
512.00	9.60	138.16	
520.00	9.60	139.32	
528.00	9.60	140.45	
536.00	9.60	141.57	
544.00	9.60	142.67	
552.00	9.60	143.74	
560.00	9.60	144.80	
568.00	9.60	145.84	
576.00	9.60	146.85	
584.00	9.60	147.85	
592.00	9.60	148.83	
600.00	9.60	149.79	
608.00	9.60	150.72	
616.00	9.60	151.64	
624.00	9.60	152.54	
632.00	9.60	153.41	
640.00	9.60	154.27	
648.00	9.60	155.11	
656.00	9.60	155.92	
664.00	9.60	156.72	
672.00	9.60	157.50	
680.00	9.60	158.26	
688.00	9.60	158.99	
696.00	9.60	159.71	
704.00	9.60	160.42	
712.00	9.60	161.10	
720.00	9.60	161.76	
728.00	9.60	162.41	
736.00	9.60	163.04	
744.00	9.60	163.65	
752.00	9.60	164.24	
760.00	9.60	164.82	
768.00	9.60	165.38	
776.00	9.60	165.92	
784.00	9.60	166.44	
792.00	9.60	166.96	
800.00	9.60	167.45	
0.00	9.90	61.83	
8.00	9.90	62.34	
16.00	9.90	62.89	
24.00	9.90	63.48	
32.00	9.90	64.12	
40.00	9.90	64.79	
48.00	9.90	65.50	
56.00	9.90	66.25	
64.00	9.90	67.04	
72.00	9.90	67.87	
80.00	9.90	68.74	
88.00	9.90	69.64	
96.00	9.90	70.58	
104.00	9.90	71.55	
112.00	9.90	72.55	
120.00	9.90	73.59	
128.00	9.90	74.66	
136.00	9.90	75.76	
144.00	9.90	76.89	
152.00	9.90	78.05	
160.00	9.90	79.23	
168.00	9.90	80.44	
176.00	9.90	81.68	
184.00	9.90	82.93	
192.00	9.90	84.21	
200.00	9.90	85.51	
208.00	9.90	86.82	
216.00	9.90	88.16	
224.00	9.90	89.51	
232.00	9.90	90.87	
240.00	9.90	92.25	
248.00	9.90	93.64	
256.00	9.90	95.04	
264.00	9.90	96.45	
272.00	9.90	97.87	
280.00	9.90	99.29	
288.00	9.90	100.72	
296.00	9.90	102.15	
304.00	9.90	103.59	
312.00	9.90	105.02	
320.00	9.90	106.46	
328.00	9.90	107.90	
336.00	9.90	109.33	
344.00	9.90	110.76	
352.00	9.90	112.19	
360.00	9.90	113.61	
368.00	9.90	115.02	
376.00	9.90	116.43	
384.00	9.90	117.83	
392.00	9.90	119.22	
400.00	9.90	120.60	
408.00	9.90	121.97	
416.00	9.90	123.33	
424.00	9.90	124.67	
432.00	9.90	126.00	
440.00	9.90	127.32	
448.00	9.90	128.62	
456.00	9.90	129.91	
464.00	9.90	131.18	
472.00	9.90	132.44	
480.00	9.90	133.68	
488.00	9.90	134.90	
496.00	9.90	136.11	
504.00	9.90	137.30	
512.00	9.90	138.46	
520.00	9.90	139.61	
528.00	9.90	140.74	
536.00	9.90	141.86	
544.00	9.90	142.95	
552.00	9.90	144.02	
560.00	9.90	145.07	
568.00	9.90	146.11	
576.00	9.90	147.12	
584.00	9.90	148.11	
592.00	9.90	149.09	
600.00	9.90	150.04	
608.00	9.90	150.97	
616.00	9.90	151.88	
624.00	9.90	152.77	
632.00	9.90	153.65	
640.00	9.90	154.50	
648.00	9.90	155.33	
656.00	9.90	156.14	
664.00	9.90	156.93	
672.00	9.90	157.71	
680.00	9.90	158.46	
688.00	9.90	159.19	
696.00	9.90	159.91	
704.00	9.90	160.61	
712.00	9.90	161.28	
720.00	9.90	161.94	
728.00	9.90	162.58	
736.00	9.90	163.21	
744.00	9.90	163.81	
752.00	9.90	164.40	
760.00	9.90	164.97	
768.00	9.90	165.53	
776.00	9.90	166.07	
784.00	9.90	166.59	
792.00	9.90	167.10	
800.00	9.90	167.59	
0.00	10.20	61.88	
8.00	10.20	62.40	
16.00	10.20	62.96	
24.00	10.20	63.56	
32.00	10.20	64.20	
40.00	10.20	64.88	
48.00	10.20	65.61	
56.00	10.20	66.37	
64.00	10.20	67.17	
72.00	10.20	68.00	
80.00	10.20	68.88	
88.00	10.20	69.79	
96.00	10.20	70.74	
104.00	10.20	71.72	
112.00	10.20	72.73	
120.00	10.20	73.78	
128.00	10.20	74.86	
136.00	10.20	75.97	
144.00	10.20	77.10	
152.00	10.20	78.27	
160.00	10.20	79.46	
168.00	10.20	80.68	
176.00	10.20	81.92	
184.00	10.20	83.18	
192.00	10.20	84.47	
200.00	10.20	85.77	
208.00	10.20	87.09	
216.00	10.20	88.43	
224.00	10.20	89.79	
232.00	10.20	91.16	
240.00	10.20	92.54	
248.00	10.20	93.94	
256.00	10.20	95.34	
264.00	10.20	96.75	
272.00	10.20	98.18	
280.00	10.20	99.60	
288.00	10.20	101.03	
296.00	10.20	102.47	
304.00	10.20	103.91	
312.00	10.20	105.35	
320.00	10.20	106.79	
328.00	10.20	108.22	
336.00	10.20	109.66	
344.00	10.20	111.09	
352.00	10.20	112.52	
360.00	10.20	113.94	
368.00	10.20	115.35	
376.00	10.20	116.76	
