HF simulation data file
Last updated date: 2015-08-25, 10:56:52

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	70	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	2	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.033333	1.653321	0.018186	0.014283	2.053227
0.166583	0.333167	7.943940	0.039863	0.031308	0.936694
0.316500	0.633000	12.234063	0.049469	0.038853	0.754797
0.466417	0.932833	15.865900	0.056335	0.044246	0.662801
0.616333	1.232667	19.117823	0.061840	0.048569	0.603805
0.766250	1.532500	22.110522	0.066504	0.052232	0.561457
0.916167	1.832333	24.910217	0.070589	0.055441	0.528965
1.066083	2.132167	27.558195	0.074246	0.058313	0.502910
1.216000	2.432000	30.082391	0.077572	0.060925	0.481348
1.365917	2.731833	32.502814	0.080632	0.063329	0.463079
1.515833	3.031667	34.834421	0.083474	0.065561	0.447313
1.665750	3.331500	37.088760	0.086133	0.067649	0.433505
1.815667	3.631333	39.274983	0.088635	0.069614	0.421267
1.965583	3.931167	41.400499	0.091002	0.071473	0.410311
2.115500	4.231000	43.471413	0.093250	0.073239	0.400418
2.265417	4.530833	45.492832	0.095394	0.074922	0.391421
2.415333	4.830667	47.469080	0.097444	0.076532	0.383187
2.565250	5.130500	49.403863	0.099410	0.078076	0.375608
2.715167	5.430333	51.300383	0.101300	0.079561	0.368600
2.865083	5.730167	53.161437	0.103121	0.080991	0.362091
3.015000	6.030000	54.989480	0.104879	0.082372	0.356021
3.164917	6.329833	56.786684	0.106579	0.083707	0.350342
3.314833	6.629667	58.554986	0.108226	0.085000	0.345012
3.464750	6.929500	60.296118	0.109823	0.086255	0.339994
3.614667	7.229333	62.011637	0.111374	0.087473	0.335258
3.764583	7.529167	63.702952	0.112883	0.088658	0.330777
3.914500	7.829000	65.371343	0.114352	0.089812	0.326529
4.064417	8.128833	67.017973	0.115783	0.090936	0.322493
4.214333	8.428667	68.643908	0.117179	0.092032	0.318651
4.364250	8.728500	70.250126	0.118542	0.093103	0.314987
4.514167	9.028333	71.837525	0.119874	0.094149	0.311487
4.664083	9.328167	73.406936	0.121176	0.095172	0.308139
4.814000	9.628000	74.959127	0.122451	0.096173	0.304932
4.963917	9.927833	76.494810	0.123699	0.097153	0.301856
5.113833	10.227667	78.014649	0.124921	0.098113	0.298901
5.263750	10.527500	79.519260	0.126120	0.099055	0.296060
5.413667	10.827333	81.009220	0.127296	0.099978	0.293325
5.563583	11.127167	82.485068	0.128451	0.100885	0.290689
5.713500	11.427000	83.947311	0.129584	0.101775	0.288146
5.863417	11.726833	85.396423	0.130698	0.102650	0.285690
6.013333	12.026667	86.832851	0.131793	0.103510	0.283318
6.163250	12.326500	88.257015	0.132869	0.104355	0.281022
6.313167	12.626333	89.669313	0.133928	0.105187	0.278801
6.463083	12.926167	91.070120	0.134970	0.106005	0.276648
6.613000	13.226000	92.459789	0.135996	0.106811	0.274561
6.762917	13.525833	93.838658	0.137006	0.107604	0.272537
6.912833	13.825667	95.207045	0.138001	0.108386	0.270571
7.062750	14.125500	96.565253	0.138982	0.109156	0.268661
7.212667	14.425333	97.913570	0.139949	0.109916	0.266805
7.362583	14.725167	99.252269	0.140903	0.110665	0.265000
7.512500	15.025000	100.581611	0.141843	0.111403	0.263243
7.662417	15.324833	101.901845	0.142771	0.112132	0.261532
7.812333	15.624667	103.213208	0.143687	0.112851	0.259865
7.962250	15.924500	104.515928	0.144591	0.113561	0.258241
8.112167	16.224333	105.810221	0.145483	0.114262	0.256656
8.262083	16.524167	107.096294	0.146365	0.114954	0.255111
8.412000	16.824000	108.374347	0.147235	0.115638	0.253602
8.561917	17.123833	109.644569	0.148096	0.116314	0.252129
8.711833	17.423667	110.907144	0.148946	0.116982	0.250689
8.861750	17.723500	112.162247	0.149786	0.117642	0.249283
9.011667	18.023333	113.410046	0.150617	0.118294	0.247908
9.161583	18.323167	114.650704	0.151439	0.118940	0.246563
