HF simulation data file
Last updated date: 2015-08-25, 11:01:55

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	3	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.050000	1.813372	0.026050	0.020460	1.149245
0.116583	0.349750	6.786025	0.050393	0.039579	0.594084
0.216500	0.649500	10.289079	0.062052	0.048735	0.482467
0.316417	0.949250	13.270690	0.070471	0.055348	0.424824
0.416333	1.249000	15.947375	0.077252	0.060674	0.387535
0.516250	1.548750	18.414714	0.083013	0.065199	0.360640
0.616167	1.848500	20.725615	0.088068	0.069169	0.339940
0.716083	2.148250	22.913240	0.092600	0.072728	0.323305
0.816000	2.448000	25.000109	0.096725	0.075967	0.309517
0.915917	2.747750	27.002396	0.100523	0.078951	0.297821
1.015833	3.047500	28.932213	0.104053	0.081723	0.287717
1.115750	3.347250	30.798929	0.107358	0.084319	0.278861
1.215667	3.647000	32.609978	0.110469	0.086762	0.271007
1.315583	3.946750	34.371385	0.113413	0.089075	0.263972
1.415500	4.246500	36.088118	0.116211	0.091272	0.257617
1.515417	4.546250	37.764338	0.118879	0.093368	0.251834
1.615333	4.846000	39.403568	0.121432	0.095373	0.246540
1.715250	5.145750	41.008830	0.123881	0.097296	0.241667
1.815167	5.445500	42.582739	0.126236	0.099145	0.237159
1.915083	5.745250	44.127577	0.128505	0.100928	0.232970
2.015000	6.045000	45.645348	0.130697	0.102649	0.229064
2.114917	6.344750	47.137830	0.132816	0.104314	0.225409
2.214833	6.644500	48.606602	0.134869	0.105926	0.221977
2.314750	6.944250	50.053082	0.136861	0.107491	0.218746
2.414667	7.244000	51.478544	0.138797	0.109011	0.215696
2.514583	7.543750	52.884141	0.140679	0.110489	0.212811
2.614500	7.843500	54.270917	0.142511	0.111928	0.210074
2.714417	8.143250	55.639828	0.144297	0.113331	0.207474
2.814333	8.443000	56.991744	0.146040	0.114700	0.204998
2.914250	8.742750	58.327466	0.147741	0.116036	0.202637
3.014167	9.042500	59.647731	0.149404	0.117342	0.200382
3.114083	9.342250	60.953218	0.151030	0.118619	0.198225
3.214000	9.642000	62.244557	0.152622	0.119869	0.196158
3.313917	9.941750	63.522332	0.154180	0.121093	0.194175
3.413833	10.241500	64.787085	0.155708	0.122293	0.192270
3.513750	10.541250	66.039323	0.157205	0.123469	0.190438
3.613667	10.841000	67.279518	0.158675	0.124623	0.188675
3.713583	11.140750	68.508113	0.160117	0.125755	0.186976
3.813500	11.440500	69.725522	0.161533	0.126868	0.185336
3.913417	11.740250	70.932135	0.162925	0.127961	0.183753
4.013333	12.040000	72.128318	0.164293	0.129035	0.182223
4.113250	12.339750	73.314415	0.165638	0.130092	0.180743
