HF simulation data file
Last updated date: 2015-08-25, 11:03:06

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	70	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	3	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.050000	2.064593	0.022490	0.017664	2.033392
0.116583	0.349750	7.751887	0.043579	0.034227	1.049385
0.216500	0.649500	11.759645	0.053675	0.042156	0.852003
0.316417	0.949250	15.170704	0.060964	0.047881	0.750128
0.416333	1.249000	18.232693	0.066834	0.052491	0.684247
0.516250	1.548750	21.054980	0.071821	0.056408	0.636738
0.616167	1.848500	23.698120	0.076195	0.059844	0.600180
0.716083	2.148250	26.200076	0.080117	0.062923	0.570804
0.816000	2.448000	28.586632	0.083686	0.065727	0.546458
0.915917	2.747750	30.876307	0.086973	0.068308	0.525806
1.015833	3.047500	33.082972	0.090027	0.070707	0.507968
1.115750	3.347250	35.217356	0.092886	0.072952	0.492334
1.215667	3.647000	37.287972	0.095578	0.075066	0.478469
1.315583	3.946750	39.301722	0.098124	0.077067	0.466050
1.415500	4.246500	41.264296	0.100545	0.078968	0.454832
1.515417	4.546250	43.180459	0.102853	0.080780	0.444626
1.615333	4.846000	45.054248	0.105061	0.082514	0.435282
1.715250	5.145750	46.889124	0.107179	0.084178	0.426680
1.815167	5.445500	48.688082	0.109215	0.085777	0.418723
1.915083	5.745250	50.453735	0.111178	0.087319	0.411331
2.015000	6.045000	52.188382	0.113073	0.088807	0.404438
2.114917	6.344750	53.894057	0.114906	0.090247	0.397986
2.214833	6.644500	55.572570	0.116681	0.091641	0.391930
2.314750	6.944250	57.225545	0.118404	0.092994	0.386228
2.414667	7.244000	58.854442	0.120077	0.094309	0.380845
2.514583	7.543750	60.460580	0.121705	0.095587	0.375753
2.614500	7.843500	62.045159	0.123289	0.096831	0.370924
2.714417	8.143250	63.609270	0.124834	0.098044	0.366335
2.814333	8.443000	65.153912	0.126340	0.099227	0.361966
2.914250	8.742750	66.680003	0.127811	0.100383	0.357800
3.014167	9.042500	68.188386	0.129249	0.101512	0.353821
3.114083	9.342250	69.679840	0.130655	0.102616	0.350014
3.214000	9.642000	71.155085	0.132031	0.103697	0.346366
3.313917	9.941750	72.614792	0.133378	0.104755	0.342867
3.413833	10.241500	74.059582	0.134698	0.105792	0.339506
3.513750	10.541250	75.490034	0.135993	0.106809	0.336274
3.613667	10.841000	76.906691	0.137263	0.107806	0.333163
3.713583	11.140750	78.310059	0.138510	0.108785	0.330164
3.813500	11.440500	79.700612	0.139734	0.109747	0.327271
3.913417	11.740250	81.078798	0.140937	0.110692	0.324478
4.013333	12.040000	82.445036	0.142120	0.111620	0.321778
4.113250	12.339750	83.799721	0.143282	0.112534	0.319166
4.213167	12.639500	85.143226	0.144426	0.113432	0.316638
4.313083	12.939250	86.475904	0.145552	0.114317	0.314189
4.413000	13.239000	87.798089	0.146661	0.115187	0.311814
4.512917	13.538750	89.110095	0.147753	0.116045	0.309510
4.612833	13.838500	90.412224	0.148828	0.116889	0.307273
4.712750	14.138250	91.704759	0.149888	0.117722	0.305100
4.812667	14.438000	92.987972	0.150933	0.118543	0.302988
4.912583	14.737750	94.262119	0.151964	0.119352	0.300933
5.012500	15.037500	95.527446	0.152980	0.120151	0.298933
5.112417	15.337250	96.784187	0.153983	0.120938	0.296986
5.212333	15.637000	98.032566	0.154973	0.121716	0.295089
5.312250	15.936750	99.272795	0.155951	0.122483	0.293240
5.412167	16.236500	100.505078	0.156915	0.123241	0.291437
5.512083	16.536250	101.729612	0.157868	0.123990	0.289677
5.612000	16.836000	102.946582	0.158810	0.124729	0.287960
5.711917	17.135750	104.156169	0.159740	0.125460	0.286283
5.811833	17.435500	105.358544	0.160660	0.126182	0.284645
5.911750	17.735250	106.553872	0.161568	0.126895	0.283044
6.011667	18.035000	107.742312	0.162467	0.127601	0.281479
6.111583	18.334750	108.924016	0.163355	0.128299	0.279948
6.211500	18.634500	110.099131	0.164234	0.128989	0.278450
6.311417	18.934250	111.267799	0.165104	0.129672	0.276983
6.411333	19.234000	112.430154	0.165964	0.130348	0.275548
6.511250	19.533750	113.586329	0.166815	0.131016	0.274142
