HF simulation data file
Last updated date: 2015-08-25, 14:35:37

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	50	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	2	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
Radial fracture

Injection parameter
By total injection time:	60	min

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.033333	3.501871	0.076395	0.040744	4.569032
0.316583	0.633167	12.885638	0.105808	0.056431	1.719768
0.616500	1.233000	17.260594	0.113829	0.060709	1.381203
0.916417	1.832833	20.524051	0.118866	0.063395	1.212975
1.216333	2.432667	23.217587	0.122587	0.065380	1.105825
1.516250	3.032500	25.550755	0.125557	0.066964	1.029192
1.816167	3.632333	27.630406	0.128038	0.068287	0.970530
2.116083	4.232167	29.519610	0.130172	0.069425	0.923563
2.416000	4.832000	31.259201	0.132049	0.070426	0.884741
2.715917	5.431833	32.877378	0.133726	0.071320	0.851876
3.015833	6.031667	34.394560	0.135242	0.072129	0.823535
3.315750	6.631500	35.826079	0.136628	0.072868	0.798730
3.615667	7.231333	37.183792	0.137905	0.073549	0.776755
3.915583	7.831167	38.477085	0.139089	0.074181	0.757090
4.215500	8.431000	39.713534	0.140193	0.074769	0.739342
4.515417	9.030833	40.899361	0.141228	0.075321	0.723206
4.815333	9.630667	42.039743	0.142202	0.075841	0.708442
5.115250	10.230500	43.139045	0.143123	0.076332	0.694859
5.415167	10.830333	44.200985	0.143995	0.076798	0.682300
5.715083	11.430167	45.228760	0.144825	0.077240	0.670638
6.015000	12.030000	46.225144	0.145616	0.077662	0.659767
6.314917	12.629833	47.192559	0.146372	0.078065	0.649597
6.614833	13.229667	48.133136	0.147096	0.078451	0.640053
6.914750	13.829500	49.048763	0.147791	0.078822	0.631071
7.214667	14.429333	49.941118	0.148459	0.079178	0.622595
7.514583	15.029167	50.811702	0.149101	0.079521	0.614577
7.814500	15.629000	51.661867	0.149721	0.079851	0.606976
8.114417	16.228833	52.492829	0.150320	0.080170	0.599756
8.414333	16.828667	53.305693	0.150898	0.080479	0.592883
8.714250	17.428500	54.101462	0.151458	0.080778	0.586331
9.014167	18.028333	54.881052	0.152001	0.081067	0.580073
9.314083	18.628167	55.645302	0.152527	0.081348	0.574087
9.614000	19.228000	56.394981	0.153039	0.081621	0.568354
9.913917	19.827833	57.130797	0.153535	0.081885	0.562855
10.213833	20.427667	57.853405	0.154019	0.082143	0.557574
10.513750	21.027500	58.563410	0.154489	0.082394	0.552497
10.813667	21.627333	59.261373	0.154947	0.082638	0.547609
11.113583	22.227167	59.947814	0.155394	0.082877	0.542899
11.413500	22.827000	60.623221	0.155830	0.083109	0.538357
11.713417	23.426833	61.288045	0.156255	0.083336	0.533971
12.013333	24.026667	61.942710	0.156671	0.083558	0.529733
12.313250	24.626500	62.587613	0.157077	0.083774	0.525633
12.613167	25.226333	63.223125	0.157474	0.083986	0.521666
