HF simulation data file
Last updated date: 2015-08-25, 10:59:33

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	2	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.033333	1.455694	0.021090	0.016564	1.159039
0.166583	0.333167	6.963725	0.046128	0.036229	0.529922
0.316500	0.633000	10.719169	0.057230	0.044948	0.427123
0.466417	0.932833	13.898779	0.065168	0.051182	0.375098
0.616333	1.232667	16.746189	0.071532	0.056181	0.341724
0.766250	1.532500	19.366974	0.076926	0.060418	0.317762
0.916167	1.832333	21.819048	0.081651	0.064128	0.299375
1.066083	2.132167	24.138510	0.085881	0.067451	0.284628
1.216000	2.432000	26.349784	0.089729	0.070473	0.272423
1.365917	2.731833	28.470362	0.093269	0.073254	0.262082
1.515833	3.031667	30.513317	0.096558	0.075836	0.253156
1.665750	3.331500	32.488743	0.099634	0.078253	0.245339
1.815667	3.631333	34.404640	0.102530	0.080527	0.238410
1.965583	3.931167	36.267483	0.105269	0.082678	0.232206
2.115500	4.231000	38.082608	0.107871	0.084722	0.226605
2.265417	4.530833	39.854478	0.110352	0.086671	0.221511
2.415333	4.830667	41.586872	0.112725	0.088534	0.216848
2.565250	5.130500	43.283028	0.115001	0.090322	0.212556
2.715167	5.430333	44.945745	0.117189	0.092040	0.208588
2.865083	5.730167	46.577467	0.119297	0.093696	0.204901
3.015000	6.030000	48.180339	0.121333	0.095295	0.201464
3.164917	6.329833	49.756261	0.123301	0.096840	0.198248
3.314833	6.629667	51.306922	0.125208	0.098338	0.195229
3.464750	6.929500	52.833838	0.127057	0.099790	0.192388
3.614667	7.229333	54.338370	0.128854	0.101201	0.189705
3.764583	7.529167	55.821749	0.130600	0.102573	0.187168
3.914500	7.829000	57.285091	0.132301	0.103909	0.184762
4.064417	8.128833	58.729415	0.133959	0.105211	0.182476
