HF simulation data file
Last updated date: 2015-08-25, 10:55:58

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	70	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.016667	1.119776	0.012585	0.009884	2.097937
0.316583	0.316583	8.412149	0.034494	0.027092	0.765429
0.616500	0.616500	13.155844	0.043137	0.033880	0.612067
0.916417	0.916417	17.144069	0.049243	0.038676	0.536168
1.216333	1.216333	20.702661	0.054113	0.042501	0.487916
1.516250	1.516250	23.970128	0.058227	0.045732	0.453443
1.816167	1.816167	27.021742	0.061823	0.048555	0.427072
2.116083	2.116083	29.904161	0.065036	0.051080	0.405968
2.416000	2.416000	32.648824	0.067956	0.053372	0.388530
2.715917	2.715917	35.278188	0.070639	0.055480	0.373770
3.015833	3.015833	37.808997	0.073129	0.057435	0.361044
3.315750	3.315750	40.254158	0.075457	0.059263	0.349907
3.615667	3.615667	42.623884	0.077646	0.060983	0.340041
3.915583	3.915583	44.926433	0.079715	0.062608	0.331213
4.215500	4.215500	47.168603	0.081680	0.064152	0.323245
4.515417	4.515417	49.356072	0.083553	0.065622	0.316001
4.815333	4.815333	51.493649	0.085343	0.067028	0.309372
5.115250	5.115250	53.585447	0.087059	0.068376	0.303274
5.415167	5.415167	55.635022	0.088709	0.069672	0.297635
5.715083	5.715083	57.645475	0.090297	0.070919	0.292399
6.015000	6.015000	59.619528	0.091830	0.072123	0.287517
6.314917	6.314917	61.559589	0.093312	0.073287	0.282950
6.614833	6.614833	63.467803	0.094748	0.074415	0.278664
6.914750	6.914750	65.346085	0.096139	0.075508	0.274630
7.214667	7.214667	67.196163	0.097491	0.076569	0.270823
