HF simulation data file
Last updated date: 2015-08-25, 10:57:49

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	50	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	2	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.033333	1.572169	0.019290	0.015150	1.635950
0.166583	0.333167	7.540348	0.042245	0.033179	0.747006
0.316500	0.633000	11.610136	0.052420	0.041171	0.602006
0.466417	0.932833	15.055632	0.059694	0.046884	0.528652
0.616333	1.232667	18.140888	0.065525	0.051464	0.481604
0.766250	1.532500	20.980365	0.070467	0.055345	0.447830
0.916167	1.832333	23.636857	0.074796	0.058744	0.421915
1.066083	2.132167	26.149513	0.078671	0.061788	0.401132
1.216000	2.432000	28.544818	0.082195	0.064556	0.383933
1.365917	2.731833	30.841745	0.085438	0.067103	0.369360
1.515833	3.031667	33.054473	0.088450	0.069468	0.356783
1.665750	3.331500	35.193950	0.091267	0.071681	0.345769
1.815667	3.631333	37.268853	0.093919	0.073764	0.336006
1.965583	3.931167	39.286205	0.096427	0.075734	0.327265
2.115500	4.231000	41.251796	0.098810	0.077605	0.319373
2.265417	4.530833	43.170465	0.101082	0.079390	0.312195
2.415333	4.830667	45.046313	0.103255	0.081096	0.305626
2.565250	5.130500	46.882851	0.105339	0.082733	0.299580
2.715167	5.430333	48.683118	0.107342	0.084306	0.293989
2.865083	5.730167	50.449761	0.109272	0.085822	0.288795
3.015000	6.030000	52.185110	0.111136	0.087286	0.283953
3.164917	6.329833	53.891225	0.112938	0.088701	0.279422
3.314833	6.629667	55.569939	0.114683	0.090072	0.275169
3.464750	6.929500	57.222896	0.116377	0.091402	0.271166
3.614667	7.229333	58.851572	0.118021	0.092694	0.267387
3.764583	7.529167	60.457302	0.119620	0.093950	0.263812
3.914500	7.829000	62.041299	0.121177	0.095172	0.260423
4.064417	8.128833	63.604667	0.122695	0.096364	0.257202
4.214333	8.428667	65.148415	0.124175	0.097527	0.254137
4.364250	8.728500	66.673471	0.125620	0.098661	0.251214
4.514167	9.028333	68.180686	0.127032	0.099770	0.248421
4.664083	9.328167	69.670848	0.128412	0.100855	0.245750
4.814000	9.628000	71.144685	0.129763	0.101916	0.243191
4.963917	9.927833	72.602872	0.131086	0.102955	0.240737
5.113833	10.227667	74.046037	0.132383	0.103973	0.238379
5.263750	10.527500	75.474765	0.133654	0.104972	0.236112
5.413667	10.827333	76.889604	0.134901	0.105951	0.233930
5.563583	11.127167	78.291064	0.136125	0.106912	0.231827
5.713500	11.427000	79.679625	0.137327	0.107856	0.229798
5.863417	11.726833	81.055738	0.138507	0.108783	0.227839
6.013333	12.026667	82.419824	0.139668	0.109695	0.225946
6.163250	12.326500	83.772284	0.140809	0.110591	0.224114
6.313167	12.626333	85.113494	0.141932	0.111473	0.222341
6.463083	12.926167	86.443809	0.143037	0.112341	0.220624
6.613000	13.226000	87.763565	0.144125	0.113195	0.218959
6.762917	13.525833	89.073082	0.145196	0.114037	0.217343
6.912833	13.825667	90.372661	0.146251	0.114865	0.215775
7.062750	14.125500	91.662589	0.147291	0.115682	0.214251
7.212667	14.425333	92.943139	0.148317	0.116488	0.212770
7.362583	14.725167	94.214570	0.149328	0.117282	0.211330
7.512500	15.025000	95.477130	0.150325	0.118065	0.209928
7.662417	15.324833	96.731055	0.151309	0.118838	0.208563
7.812333	15.624667	97.976570	0.152280	0.119600	0.207233
7.962250	15.924500	99.213889	0.153238	0.120353	0.205937
8.112167	16.224333	100.443218	0.154185	0.121096	0.204672
8.262083	16.524167	101.664755	0.155119	0.121830	0.203439
8.412000	16.824000	102.878687	0.156043	0.122556	0.202235
8.561917	17.123833	104.085194	0.156955	0.123272	0.201060
8.711833	17.423667	105.284451	0.157857	0.123980	0.199911
8.861750	17.723500	106.476624	0.158748	0.124680	0.198789
9.011667	18.023333	107.661872	0.159629	0.125372	0.197692
9.161583	18.323167	108.840348	0.160500	0.126057	0.196619
9.311500	18.623000	110.012202	0.161362	0.126733	0.195569
