HF simulation data file
Last updated date: 2015-08-25, 10:54:20

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	50	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
PKN fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.016667	0.608863	0.032298	0.020293	0.143547
0.316583	0.316583	6.453288	0.058276	0.036616	0.259005
0.616500	0.616500	10.942603	0.066501	0.041784	0.295558
0.916417	0.916417	14.960732	0.071909	0.045182	0.319596
1.216333	1.216333	18.693068	0.076027	0.047769	0.337896
1.516250	1.516250	22.223051	0.079386	0.049880	0.352828
1.816167	1.816167	25.597860	0.082242	0.051674	0.365522
2.116083	2.116083	28.847653	0.084737	0.053242	0.376609
2.416000	2.416000	31.993275	0.086958	0.054637	0.386480
2.715917	2.715917	35.049940	0.088965	0.055898	0.395398
3.015833	3.015833	38.029210	0.090798	0.057050	0.403545
3.315750	3.315750	40.940144	0.092487	0.058112	0.411055
3.615667	3.615667	43.790024	0.094057	0.059097	0.418029
3.915583	3.915583	46.584815	0.095523	0.060019	0.424545
4.215500	4.215500	49.329492	0.096900	0.060884	0.430665
4.515417	4.515417	52.028258	0.098199	0.061700	0.436438
4.815333	4.815333	54.684710	0.099429	0.062473	0.441905
5.115250	5.115250	57.301958	0.100598	0.063207	0.447100
5.415167	5.415167	59.882715	0.101712	0.063907	0.452052
5.715083	5.715083	62.429368	0.102776	0.064576	0.456783
6.015000	6.015000	64.944030	0.103796	0.065217	0.461315
6.314917	6.314917	67.428586	0.104775	0.065832	0.465665
6.614833	6.614833	69.884725	0.105716	0.066423	0.469849
6.914750	6.914750	72.313971	0.106623	0.066993	0.473880
7.214667	7.214667	74.717703	0.107498	0.067543	0.477770
7.514583	7.514583	77.097175	0.108344	0.068075	0.481529
7.814500	7.814500	79.453533	0.109163	0.068589	0.485167
8.114417	8.114417	81.787826	0.109956	0.069087	0.488692
8.414333	8.414333	84.101020	0.110725	0.069571	0.492111
8.714250	8.714250	86.394004	0.111472	0.070040	0.495431
9.014167	9.014167	88.667603	0.112198	0.070496	0.498659
9.314083	9.314083	90.922579	0.112905	0.070940	0.501800
9.614000	9.614000	93.159644	0.113593	0.071373	0.504858
9.913917	9.913917	95.379460	0.114264	0.071794	0.507839
10.213833	10.213833	97.582644	0.114918	0.072205	0.510747
10.513750	10.513750	99.769775	0.115557	0.072606	0.513585
10.813667	10.813667	101.941397	0.116180	0.072998	0.516357
11.113583	11.113583	104.098019	0.116790	0.073381	0.519067
11.413500	11.413500	106.240122	0.117386	0.073756	0.521717
11.713417	11.713417	108.368157	0.117970	0.074123	0.524310
12.013333	12.013333	110.482552	0.118541	0.074482	0.526849
12.313250	12.313250	112.583711	0.119101	0.074833	0.529336
12.613167	12.613167	114.672017	0.119649	0.075178	0.531774
12.913083	12.913083	116.747831	0.120187	0.075516	0.534164
13.213000	13.213000	118.811500	0.120715	0.075847	0.536509
13.512917	13.512917	120.863349	0.121232	0.076173	0.538811
13.812833	13.812833	122.903690	0.121741	0.076492	0.541071
14.112750	14.112750	124.932820	0.122240	0.076806	0.543290
14.412667	14.412667	126.951022	0.122731	0.077114	0.545471
14.712583	14.712583	128.958566	0.123213	0.077417	0.547615
15.012500	15.012500	130.955710	0.123688	0.077715	0.549723
15.312417	15.312417	132.942701	0.124154	0.078008	0.551796
15.612333	15.612333	134.919776	0.124613	0.078297	0.553837
15.912250	15.912250	136.887159	0.125065	0.078581	0.555845
16.212167	16.212167	138.845070	0.125510	0.078860	0.557822
16.512083	16.512083	140.793715	0.125948	0.079135	0.559769
16.812000	16.812000	142.733296	0.126379	0.079407	0.561687
17.111917	17.111917	144.664003	0.126805	0.079674	0.563576
